DID,Date,BW_REQUESTED
235009876,2024-10-12 00:00:00,30.601
235009876,2024-10-12 00:05:00,0.0
235009876,2024-10-12 00:10:00,34.612
235009876,2024-10-12 00:15:00,18.164
235009876,2024-10-12 00:20:00,98.113
235009876,2024-10-12 00:25:00,41.377
235009876,2024-10-12 00:30:00,26.493
235009876,2024-10-12 00:35:00,88.365
235009876,2024-10-12 00:40:00,0.0
235009876,2024-10-12 00:45:00,78.009
235009876,2024-10-12 00:50:00,69.692
235009876,2024-10-12 00:55:00,0.0
235009876,2024-10-12 01:00:00,0.0
235009876,2024-10-12 01:05:00,0.0
235009876,2024-10-12 01:10:00,97.198
235009876,2024-10-12 01:15:00,15.032
235009876,2024-10-12 01:20:00,0.0
235009876,2024-10-12 01:25:00,0.0
235009876,2024-10-12 01:30:00,0.0
235009876,2024-10-12 01:35:00,63.11
235009876,2024-10-12 01:40:00,0.0
235009876,2024-10-12 01:45:00,71.451
235009876,2024-10-12 01:50:00,59.794
235009876,2024-10-12 01:55:00,39.306
235009876,2024-10-12 02:00:00,0.0
235009876,2024-10-12 02:05:00,172.05
235009876,2024-10-12 02:10:00,106.062
235009876,2024-10-12 02:15:00,71.068
235009876,2024-10-12 02:20:00,51.6
235009876,2024-10-12 02:25:00,0.0
235009876,2024-10-12 02:30:00,91.234
235009876,2024-10-12 02:35:00,54.29
235009876,2024-10-12 02:40:00,26.335
235009876,2024-10-12 02:45:00,37.693
235009876,2024-10-12 02:50:00,86.211
235009876,2024-10-12 02:55:00,121.255
235009876,2024-10-12 03:00:00,147.491
235009876,2024-10-12 03:05:00,58.579
235009876,2024-10-12 03:10:00,54.29
235009876,2024-10-12 03:15:00,55.183
235009876,2024-10-12 03:20:00,119.951
235009876,2024-10-12 03:25:00,0.0
235009876,2024-10-12 03:30:00,0.0
235009876,2024-10-12 03:35:00,61.491
235009876,2024-10-12 03:40:00,28.417
235009876,2024-10-12 03:45:00,0.0
235009876,2024-10-12 03:50:00,101.306
235009876,2024-10-12 03:55:00,16.678
235009876,2024-10-12 04:00:00,31.467
235009876,2024-10-12 04:05:00,6.189
235009876,2024-10-12 04:10:00,78.839
235009876,2024-10-12 04:15:00,55.39
235009876,2024-10-12 04:20:00,52.032
235009876,2024-10-12 04:25:00,0.0
235009876,2024-10-12 04:30:00,0.0
235009876,2024-10-12 04:35:00,101.877
235009876,2024-10-12 04:40:00,46.51
235009876,2024-10-12 04:45:00,98.016
235009876,2024-10-12 04:50:00,9.456
235009876,2024-10-12 04:55:00,34.01
235009876,2024-10-12 05:00:00,130.562
235009876,2024-10-12 05:05:00,43.744
235009876,2024-10-12 05:10:00,21.202
235009876,2024-10-12 05:15:00,139.753
235009876,2024-10-12 05:20:00,0.82
235009876,2024-10-12 05:25:00,0.0
235009876,2024-10-12 05:30:00,0.0
235009876,2024-10-12 05:35:00,0.0
235009876,2024-10-12 05:40:00,0.0
235009876,2024-10-12 05:45:00,0.0
235009876,2024-10-12 05:50:00,61.213
235009876,2024-10-12 05:55:00,105.357
235009876,2024-10-12 06:00:00,76.308
235009876,2024-10-12 06:05:00,29.569
235009876,2024-10-12 06:10:00,47.651
235009876,2024-10-12 06:15:00,112.799
235009876,2024-10-12 06:20:00,9.37
235009876,2024-10-12 06:25:00,18.34
235009876,2024-10-12 06:30:00,64.337
235009876,2024-10-12 06:35:00,3.738
235009876,2024-10-12 06:40:00,0.0
235009876,2024-10-12 06:45:00,31.529
235009876,2024-10-12 06:50:00,38.663
235009876,2024-10-12 06:55:00,18.059
235009876,2024-10-12 07:00:00,12.358
235009876,2024-10-12 07:05:00,119.004
235009876,2024-10-12 07:10:00,110.516
235009876,2024-10-12 07:15:00,89.965
235009876,2024-10-12 07:20:00,103.713
235009876,2024-10-12 07:25:00,34.499
235009876,2024-10-12 07:30:00,136.132
235009876,2024-10-12 07:35:00,198.857
235009876,2024-10-12 07:40:00,123.038
235009876,2024-10-12 07:45:00,130.9
235009876,2024-10-12 07:50:00,159.507
235009876,2024-10-12 07:55:00,157.795
